Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
913,APLE,Real Estate,REITâ€”Hotel & Motel,NYSE,107.12,76,83,87,44
914,GNT,Financial Services,Asset Management,NYSE,107.06,76,76,57,81
915,NEU,Basic Materials,Specialty Chemicals,NYSE,107.01,76,80,59,35
916,FRST,Financial Services,Banks—Regional,NASDAQ,106.99,76,82,83,74
917,YEXT,Technology,Software—Infrastructure,NYSE,106.95,76,74,11,3
918,FNLC,Financial Services,Banks—Regional,NASDAQ,106.9,76,80,81,66
919,ESEA,Industrials,Marine Shipping,NASDAQ,106.86,76,76,67,90
920,NWFL,Financial Services,Banks—Regional,NASDAQ,106.82,76,73,65,70
921,RGLD,Basic Materials,Gold,NASDAQ,106.82,76,75,30,83
922,CVLT,Technology,Software—Application,NASDAQ,106.81,76,62,72,4
923,SHBI,Financial Services,Banks—Regional,NASDAQ,106.79,76,79,81,73
924,FBP,Financial Services,Banks—Regional,NYSE,106.78,76,78,71,54
925,CLRO,Technology,Communication Equipment,NASDAQ,106.78,76,87,7,5
926,WES,Energy,Oil & Gas Midstream,NYSE,106.76,76,72,54,63
927,IHD,Financial Services,Asset Management,NYSE,106.76,76,65,76,72
928,KNX,Industrials,Trucking,NYSE,106.74,76,76,89,80
929,IOSP,Basic Materials,Specialty Chemicals,NASDAQ,106.74,76,69,49,29
930,DVN,Energy,Oil & Gas E&P,NYSE,106.72,76,72,44,88
931,CM,Financial Services,Banks—Diversified,NYSE,106.71,76,74,80,80
932,ANDE,Consumer Defensive,Food Distribution,NASDAQ,106.69,76,65,83,92
933,PRGS,Technology,Software—Application,NASDAQ,106.68,76,70,20,5
934,RFL,Healthcare,Biotechnology,NYSE,106.65,76,93,95,27
935,BCH,Financial Services,Banks—Regional,NYSE,106.64,76,73,65,78
936,ABBV,Healthcare,Drug Manufacturersâ€”General,NYSE,106.62,76,73,68,50
937,WAB,Industrials,Railroads,NYSE,106.56,76,80,69,78
938,FVCB,Financial Services,Banks—Regional,NASDAQ,106.52,76,80,75,78
939,ROST,Consumer Cyclical,Apparel Retail,NASDAQ,106.52,76,79,72,88
940,CTRN,Consumer Cyclical,Apparel Retail,NASDAQ,106.51,75,96,90,85
941,PBFS,Financial Services,Banks—Regional,NASDAQ,106.51,75,74,72,63
942,COGT,Healthcare,Biotechnology,NASDAQ,106.48,75,87,96,99
943,BDL,Consumer Cyclical,Restaurants,NYSE MKT,106.48,75,92,86,61
944,LNG,Energy,Oil & Gas Midstream,NYSE,106.48,75,75,31,83
945,GDYN,Technology,Information Technology Services,NASDAQ,106.47,75,50,10,5
